ID,name,population,latitude,longitude,how_many_legoshops
9844,Warszawa,1792718,52.231956,21.006725,2
10787,Kraków,762508,50.061947,19.936857,0
41,Łódź,711332,51.768734,19.456991,1
9767,Wrocław,634487,51.10898,17.03267,1
28,Poznań,548028,52.408268,16.93352,1
19,Gdańsk,486345,54.34829,18.654024,1
26,Szczecin,402465,53.430183,14.550962,0
37,Lublin,340466,51.25056,22.570103,0
75,Bydgoszcz,330038,53.121964,18.000254,0
8804,Białystok,296401,53.132397,23.159168,0
8203,Katowice,280190,50.2599,19.021585,0
20,Gdynia,244104,54.5165,18.540274,0
8265,Częstochowa,232318,50.812046,19.113213,0
6128,Radom,218466,51.402256,21.154154,0
8775,Rzeszów,197863,50.037453,22.004717,0
8844,Sosnowiec,197586,50.278084,19.134295,0
10668,Toruń,196935,53.010273,18.604809,0
11123,Kielce,187374,50.87199,20.631048,0
32,Gliwice,185450,50.294113,18.665731,0
8367,Zabrze,178357,50.308617,18.786375,0
8764,Olsztyn,174675,53.776684,20.476507,0
8881,Bielsko-Biała,173699,49.822117,19.044893,0
8841,Bytom,173439,50.34704,18.923185,0
27,Zielona Góra,140403,51.938377,15.505041,0
8882,Rybnik,140173,50.09558,18.541994,0
8511,Ruda Śląska,137030,50.2858,18.874794,0
10687,Tychy,128812,50.114395,18.996593,0
2080,Elbląg,126460,54.155872,19.404459,0
9286,Gorzów Wielkopolski,124344,52.73099,15.240046,0
10642,Dąbrowa Górnicza,123994,50.330868,19.207891,0
8405,Wałbrzych,122927,50.765907,16.282543,0
10686,Płock,122815,52.54645,19.700861,0
8816,Opole,120146,50.666817,17.923641,0
10685,Włocławek,114885,52.66017,19.072296,0
8778,Tarnów,112120,50.01238,20.988073,0
8886,Chełm,108311,51.133923,23.471155,0
34,Chorzów,106846,50.29788,18.954447,0
432,Koszalin,104648,54.19092,16.17707,0
11488,Legnica,99752,51.20816,16.160318,0
10669,Grudziądz,97676,53.487648,18.755775,0
10670,Kalisz,94489,51.762474,18.089537,0
210,Słupsk,93936,54.46493,17.028072,0
8208,Jaworzno,93708,50.203438,19.272156,0
11128,Jastrzębie-Zdrój,91235,49.95191,18.602362,0
8868,Jelenia Góra,84306,50.903103,15.73443,0
8799,Nowy Sącz,83943,49.624916,20.691345,0
8883,Konin,77224,52.230194,18.252111,0
10839,Siedlce,77102,52.166374,22.276514,0
10540,Piotrków Trybunalski,75903,51.408264,19.696167,0
10583,Mysłowice,75037,50.24147,19.141453,0
